title,abstract,field,reference_topic_label
Late-stage clinical development of Chikungunya vaccines in endemic countries (CHIKV) and  Controlled Human Infection Models for SARS-CoV2 and other beta coronaviruses (CHIM).,"A Framework Partnership Agreement (FPA) between the Coalition for Epidemic Preparedness Innovations (CEPI) and the European Union (EU) was signed in April 2019, to finance and coordinate the development of new medical countermeasures to prevent and contain infectious disease epidemics, which are of particular concern to low- and middle-income countries. As part of the FPA, a call for proposals (CfP) was launched jointly with the EU and supported the preclinical development of Rift Valley Fever Virus vaccines and the late-stage development of Chikungunya virus vaccines (CHIKV).",virology,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
"Abortion, Law and Nature","""The ALaN project brings together philosophy, gender studies and life sciences to question the impact of representations of nature on women's health and rights, starting from the specific case of abortion. The objective is to renew the philosophical approach to abortion, to enlighten the European public debate thanks to an interdisciplinary and intersectoral research. [1] Starting from a philosophical clarification of the notion of """"nature"""", it will question the representations of nature that underlie the debates on abortion in order to open up the possibility of a dialogue between Gender Studies and biomedical sciences.",family planning,"Digital, Social, and Policy Innovations in Health"
Personalized Drug Response: IMplementation and Evaluation in CKD,"Chronic Kidney Disease (CKD) is one of the major causes of death in high income countries and its prevalence is growing rapidly. New therapies for the treatment of CKD have shown clear efficacy at a population level. Yet, individual patients respond differently with many patients showing suboptimal efficacy. This indicates that a ‘one size fits all’ approach is no longer sustainable. Currently there are no validated pharmacodynamic biomarkers in CKD that aid in guiding optimal therapy for individual patients. Furthermore, there remains a large gap between biomarker research and actual implementation of biomarker based care in daily clinical practice.",personalized medicine,Chronic Kidney Disease and Organoids
Understanding vaccination hesitancy and evaluating single dose and gender-neutral vaccination for improving uptake of HPV vaccines in West and East Africa.,"Cervical cancer, caused by human papillomavirus (HPV), is almost entirely preventable through prophylactic HPV vaccination. Many countries have yet to implement HPV vaccination programmes or are struggling to achieve high vaccine coverage. This presents a major challenge for meeting the World Health Organisation (WHO) cervical cancer elimination target, with 90% of 15 year-old girls being vaccinated against HPV by 2030. Originally licenced as multidose vaccines, WHO has recently recommended that countries can offer a single HPV vaccine dose to 9-20 year olds.",epidemiology,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
A precise and versatile nanotechnology with seed bio-stimulant microbial molecules to potentiate crop growth and immunization,"Seed germination is the first step of a sequence of events that promote the transit of seeds from dormancy to vegetative growth. Therefore, it is a tightly regulated program that ensures further plant growth and survival in a supportive environment. The emergency provoked by continuous deterioration of the environment due to non-respectful crop management strategies and potentiated with climate change has increased the focus on this primordial stage of the plant growth as a primary target of strategies that help mitigating unsustainable issues.",immunisation,Molecular and Ecological Plant Adaptation
Light-reconfigurable substrate for cell cultures,"L-Cell is a method for robust, reconfigurable control of surface topography, based on creating reversible light-induced surface structures onto azobenzene-containing bilayers. These light-reconfigurable substrates allow free-form topographical patterns to be created and subsequently erased over many cycles on a biocompatible cell culture substrate, even when the cells are already growing on the substrate. L-Cell aims at mimicking more closely the dynamic conditions in human body, which regulate many physiological and pathological processes, such as tissue morphogenesis, healing, and tumour growth. Our non-invasive solution is important for definition of chrono-programmes e.g.",planetary geology,Bone Bioprinting and Regenerative Implant Technologies
Addressing Critical Gaps in mpox epidemiology in DRC - The MOVIE and TRACE studies,"This proposal outlines two linked studies aimed at addressing the public health challenge of Mpox in the Democratic Republic of Congo (DRC). The MOVIE study focuses on understanding the kinetics of viral elimination shedding light on how MPXV interacts with host tissues and immune defences, which is crucial for developing containment strategies and potentially influencing endpoint selection in therapeutic trials.",epidemiology,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
In-operando growth of organic mixed ionic-electronic conductors for brain-inspired electronics,"The development of advanced brain-computer interfaces, wearable and implantable bioelectronic devices, prosthetics, and soft robotics requires the ability to process signals in a highly individualized and localized manner. To achieve this, new materials and devices must be developed that can sense their surroundings, process information locally, and translate it into a format our body can interpret. Currently, (bio-)electronic devices rely on remote and energy-intensive cloud processing, but electronic devices that mimic the design of the human brain offer a solution.",robotics,Neuromodulation and Neurotechnology Therapies
How do people perceive the 15-minute neighbourhoods globally? Investigating public perception across developed and developing worlds,"Over recent years, the novel concept of the 15-minute city is gaining traction across Europe and beyond due to the numerous benefits that it can yield for local communities. Although it builds upon previous urban planning movements and ideas, repackaging them has contributed to extra attention when re-inventing the desired neighbourhood structure at this time of global resource constraints, climate change, vulnerable settlements, pandemics, and social exclusion. The concept promotes a proximity-based approach in neighbourhoods planning and design by which accessing daily needs for locals is guaranteed in a 15-minute walk/bicycle ride of their home.",pandemics,"Digital, Social, and Policy Innovations in Health"
"Early detection, molecular mechanisms and therapeutic interventions in chronic kidney disease","The objective of ELIMINATE-CKD is to demonstrate that combining measures of kidney structure and function will strongly enhance detection of chronic kidney disease (CKD). To reach this objective, I will develop a new method to quantify the number of nephrons, the smallest functional units in the kidney.Rationale:- CKD affects ~10% of the global population and causes 2.6 million deaths/year. CKD-associated costs (140 billion euros/year in Europe) exceed diabetes and cancer.",drug discovery,Chronic Kidney Disease and Organoids
Causes and consequences of aberrant mRNA translation in cancer,"Shortages in amino acids are weapons in the warfare between tumor cells and tumor-infiltrating lymphocytes. Tumor cells enhance or inhibit the production of key amino acid metabolites to stimulate oncogenesis and suppress anti-tumor activity. A key player in this battle is tryptophan. Activated T cells secrete interferon-γ, which upregulates IDO1 enzyme to catabolize tryptophan to kynurenine in target tumor cells. While kynurenine suppresses T-cell function, its production limits tryptophan availability in tumor cells. Importantly, as tumor cells almost invariably deregulate mRNA translation to promote proliferation and metastasis, the consequences of tryptophan shortage are major.",oncology,Cancer Immunotherapy and Tumor Biology
"Tracing Queer Citizenship over Time:  Ageing, ageism and age-related LGBTI+ politics in Europe","Sexual and gender diversity are constitutive elements of democratic societies which have been targeted by extreme-right populism and other anti-democratic forces. Taking queer citizenship as a set of criteria through which democracies can be evaluated, TRACE explores the extent to which the EU has influenced local political and socio-legal advancements in LGBTI+ rights, narratives and experiences over time.",democracy,"Digital, Social, and Policy Innovations in Health"
Deciphering the eccDNA inheritance with novel plant eccDNA genetic tools,"Enhancing plants’ natural innate and immune systems for the generation of primed plants that will better withstand stressors, can be an effective way to reduce losses in crop production. These systems are broadly defined under the plant transgenerational inheritance (TI) of stress memory, which is based on the heritability of attained traits caused by environmental conditions. I propose a new player in plant TI: the extrachromosomal circular DNA (eccDNA). EccDNA is recognized as a major source of genetic variation behind key adaptive traits.",DNA,Molecular and Ecological Plant Adaptation
Co-option of host circadian rhythms in cancer,"Circadian rhythms (CRs) are the biological response to the periodic rotations of the Earth, and allowfundamental adaptations of organisms to a changing environment. CRs are molecularly controlled in every cellby a set of transcriptional factors that control, and are influenced by, core biological processes includingmetabolic, immune, and proliferative.My previous studies established, for the first time, that innate immune cells regulate the circadian physiologyof tissues, including the susceptibility of the lung to be metastasized.",lung cancer,Cancer Immunotherapy and Tumor Biology
Unprecedented photolithographic structuring of novel light-sensitive poly(amino acid) materials– a paradigm shift in delivering biocompatible devices,"Photolitography, which produces geometrical structures through light-induced polymerisation of monomers with high accuracy, precision and spatial resolution, was a key innovation enabler in the drive for high-performance miniature electronics, which had an unprecedented impact on every aspect of our modern life. Geometrically well-defined microstructures could also be a game changer in the medical device industry, especially in the development of implantable devices with better tissue compatibility, as well as in the discovery of new drugs and treatments.",innovation management,Bone Bioprinting and Regenerative Implant Technologies
"Identification of novel diagnostic, predictive and therapeutic strategies in chronic kidney disease","Chronic Kidney Disease (CKD) represents an important medical, social and economic burden with high morbidity and mortality. The prevalence of CKD has reached >10% in the developed world, and CKD globally accounts for more years lived with disability than all neoplasms combined. Therapeutic strategies to treat CKD or tools for risk stratification of patients are limited and the field has produced the fewest translational randomized clinical trials in medicine while diagnosis is still based on invasive tissue biopsies. TargetCKD aims to establish a holistic understanding of cellular and molecular mechanisms that drive disease to develop novel diagnostic, predictive and therapeutic options.",mortality,Chronic Kidney Disease and Organoids
Mitochondrial antiviral signaling in Plants,"Rhizomania is one of the most economically devastating disease of sugar beet and is caused by Beet necrotic yellow vein virus (BNYVV). Emerging evidence indicates that mitochondria plays essential role in plant immunity and thus represents a promising target for the development of sustainable broad-spectrum disease resistance in crops. This project builds on the previous findings that BNYVV localize to mitochondria, and this occurrence is related to the assembly of the virus. Moreover, several nuclear genes encoding mitochondrial proteins appear to be repressed by a nuclear-localized BNYVV P25 virulence factor (Savenkov, unpublished).",virology,Molecular and Ecological Plant Adaptation
Precision biomarker based on digital pathology and artificial intelligence to guide fast and cost-effective personalized treatment decision support for colorectal cancer patients,"There is consensus in the oncology community that there is a large need for personalized cancer treatment decisions as patients suffer from large-scale overtreatment. Up to 90% of patients receiving adjuvant chemotherapy have no effect, many suffer severe side effects. DoMore Diagnostics (DoMore Dx) delivers pioneering diagnostics software that enables personalized cancer treatment in a simple and cost-efficient way. We provide deep learning algorithms applied to cancer tissue whole slide images (WSI) in the adjuvant chemotherapy setting. With end-to-end deep learning we have taken a completely new approach to this challenge.",software,Multimodal Cancer Imaging and Diagnostics Technologies
Does exposure to artificial light at night impacts immunity and microbiome in natural populations of an amphibian?,"The constant increase of urbanization and human activities worldwide is exposing animals and human to a multitude of stressful stimuli that disrupt physiological functions in organisms. A major source of pollution nowadays, that affect 99% of the european territory and thus almost every organism in Europe, is light pollution (or ALAN, Artificial Light at Night). Recent studies suggest that the immune function could be strongly disrupted by exposure to ALAN, but these results mostly comes from experimental studies conducted in laboratory conditions, and thus not realistic of real conditions of exposure to the light pollution.",immunology,Precision Medicine and Therapeutics for Gut Microbiome Disorders
T cell regulation by fed state bacterial metabolites,"Intestinal microbial communities expand the functional capabilities of the host via their metabolic attributes. From energy harvest to the production of vitamins, the gut microbiota shapes mammalian physiology and is often considered a postnatally developed “organ”. Yet, the microbiome poses a formidable challenge to the immune system: How can we host trillions of bacteria without mounting an inflammatory response? Gut immune homeostasis relies on the balanced action of suppressive and inflammatory T cell subsets. I discovered that bacterial metabolism of bile acids and dietary fibers promotes the differentiation of suppressive T cells.",biochemistry,Precision Medicine and Therapeutics for Gut Microbiome Disorders
Kidney Nephron Orientation in Vivo-like in Vitro,"KNOVV aims at directing nephron spatial orientation within renal organoids to mimic in vivo kidney development.Chronic kidney disease (CKD) is an increasing socio-economic burden, with 100 million people affected in Europe; available treatments are limited to dialysis and transplants. Tissue engineering and regenerative medicine (TERM) aims at developing in vivo–like organs, using in vitro three-dimensional (3D) systems as new therapies. Promising TERM therapies involving self-organized renal organoids from human induced pluripotent stem cells (hiPSC) are being investigated.",developmental biology,Chronic Kidney Disease and Organoids
Smart Sensor Analog Front-End powered by Emerging Reconfigurable Devices,Our main objective is the development of a reconfigurable platform to accommodate both for a generic sensor interface as well as a dedicated sensor transducer element. The tunable analog front-end (AFE) interface should be enabled at the fine-grain level by emerging reconfigurable field effect transistor (RFET) and negative differential resistance (NDR) transistor technologies that provide co-integration capabilities with European 22nm CMOS processing technologies allowing for a More-than-Moore sensor technology approach.,optical sensors,Multimodal Cancer Imaging and Diagnostics Technologies
Bidirectional remote deep brain control with magnetic anisotropic nanomaterials,"The emergence of a new era in neuromodulation is led by the intriguing potential of functional materials to replace or control neural activity. The ability to simultaneously analyse neural activity offers the potential to translate signals into a feedback loop for intuitive therapy or even to replace lost neurological functions. However, neuromodulation and recording in the deep brain commonly relies on chronic implantation of macroscale hardware with numerous safety concerns and often suffers from poor spatiotemporal resolution.BRAINMASTER will demonstrate scalable, wireless, minimally invasive neuromodulation relying on forces transformed to mechanosensory neurons by magnetic nanodiscs...",alzheimer,Neuromodulation and Neurotechnology Therapies
The Cartography of the Political Novel in Europe,"The project sets out to examine how people in different national and cultural contexts engage with contemporary political issues and thereby have their share in shaping European societies and politics in the 21st century. This is done through the prism of an extraordinary aesthetic and social phenomenon that we call the political novel in Europe (or PNE), which is gaining prominence not only in strictly delimited literary circles but in European societies at large. Given this new relevance of political writing, CAPONEU’s goal is to assess the political novel as an important element of the European cultural heritage and as a tool for community building and European advocacy.",history,"Digital, Social, and Policy Innovations in Health"
Co-produced transformative knowledge to accelerate change for biodiversity,"Food and biomass production systems are among the most prominent drivers of biodiversity loss worldwide. Halting and reversing the loss of biodiversity therefore requires transformative change of food and biomass systems, addressing the nexus of agricultural production, processing and transport, retailing, consumer preferences and diets, as well as investment, climate action and ecosystem conservation and restoration. The RAINFOREST project will contribute to enabling, upscaling and accelerating transformative change to reduce biodiversity impacts of major food and biomass value chains.",governance,Sustainable Food Systems and Nutritional Innovations
Redesigning aortic endograft: enabling in-situ personalized aneurysm healing,"Forty years ago, the endograft (EG) enabled the endovascular treatment of aortic aneurysm (AoA) and revolutionized vascular surgery. Still, since then, its technological concept has remained substantially unchanged: EG is a passive device aimed at treating the AoA in its late stage, not to cure the disease, even when discovered early. This proposal introduces a bio-engineered process to redesign EGs as 3D bio-printed, bioresorbable devices loaded with active drug components and validated in-vitro to enable the paradigm shift: from end-stage treatment to early personalized healing.To this aim, EPEIUS must tackle three open challenges: 1) available (animal) models often fail to predict human...",surgery,Bone Bioprinting and Regenerative Implant Technologies
SmartFuse: Game-changer to create a new gold-standard for spinal fusion surgery with wirelessly technology,"Spinal surgery has a significant failure rate of 18% leading to devastating complications for patients. With the knowledge that bone remodels naturally using electric signals, we are transferring cutting edge neuromodulation technology into the orthopaedic field. We incorporate our proprietary, wirelessly powered bio-electrical stimulation system into standard orthopaedic implants. Our first product, SmartFuse, addresses the issues of non-union and bone overgrowth in spinal fusion surgery by harnessing the local delivery of electrical stimulation to accelerate bone growth and control the formation of new bone.",surgery,Bone Bioprinting and Regenerative Implant Technologies
Gene-Independent Combination Therapy for Rod-Cone Dystrophy,"Rod-cone dystrophies are inherited retinal diseases whose clinical course begin with the degeneration of rod photoreceptors and evolve with the progressive loss of cones that, in turn, leads to complete blindness. These diseases affect 1:2500 individuals worldwide with many underlying gene defects. Although gene replacement therapy has been very successful in treating inherited retinal degenerations in the clinic, with one FDA approved product on the market and over 30 clinical trials, it is costly and time consuming to develop a gene replacement therapy for each mutation.",gene therapy,Retinal and Ocular Disease Mechanisms and Therapies
Dissection of the host-microbe crosstalk that controls metabolism and physiology in intestinal symbiosis,"Intestinal bacteria have been associated with the most diverse aspects of our physiology, and large efforts are being undertaken to determine how the metabolic repertoire of the microbiome impacts host nutrition and health. These efforts, however, face major obstacles. First, we have a very poor understanding of how bacterial metabolism is regulated in the different sections of the gastrointestinal tract. It is also becoming increasingly clear that symbionts support their hosts by means that extend beyond the provision of nutrients, and these effects can hardly be predicted from metagenomic analyses.",bacteriology,Precision Medicine and Therapeutics for Gut Microbiome Disorders
Postbiotic Restoration Of the Metabolome Of Moms,"Microbial dysbiosis can lead to behavioral changes including aggressive behavior. Mice treated with antibiotics exhibit increased aggression, as do offspring of mothers given antibiotics only during pregnancy or alternatively only when nursing. Promising results from our lab in flies and mice support our hypothesis that such behaviors are partially affected by gut bacteria and associated metabolic compounds. Pregnancy is associated with reduced immune function and women receive antibiotics during this period for a myriad of reasons. Preclinical trials and clinical research suggest strong effects of these treatments on offspring.",nursing,Precision Medicine and Therapeutics for Gut Microbiome Disorders
"Expanding a prospective, clinical trial examining the immune response of participants receiving Modified Vaccinia Ankara vaccine to Africa.","The current Mpox outbreak affecting the Democratic Republic of the Congo, ongoing since 2023, has resulted in more than 19,000 causes and over 1,000 deaths, with women accounting for more than half of those affected. The previous global Mpox outbreak in 2022 was alleviated in part with use of preventive vaccination using modified vaccina Ankara (MVA) vaccine. However, whether this vaccine induces sufficient immune responses in women and those with immunosuppression, which is common in affected areas, and how long vaccine-induced immunity lasts is not well defined.",vaccines,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
IDENTIfication and tracking of cancer-prone cells in KIdney Tubules,"Understanding what makes our cells prone to develop cancer is key for identifying effective strategies of tumor prevention. By analyzing the genome of normal human cells, I obtained compelling evidence that the pattern of somatic mutations can be used to identify the cell-of-origin of kidney cancer. Although every cell accumulates somatic mutations during a lifetime, some are exposed to a specific mutational process that leave a detectable mark in their genome. Kidney cancers and their cell-of-origin show the same genetic mark, consisting of excess somatic point mutations with unique characteristics and unknown origin.",DNA,Chronic Kidney Disease and Organoids
Automated retinal scans for early detection of diabetic eye diseases through use of artificial intelligence,"Oivi provides affordable eye care for all and prevent unnecessary blindness by providing a low-cost camera for retinal (fundus) photography, with fully automated image capture and diagnostics. Oivi is a point-of-care device for eye screening of diabetic retinopathy (DR). DR affects >160 M people worldwide and is the most common cause of blindness among working-age adults. Yet, early detection can successfully prevent vision-loss in 95% of the cases. Current solutions for DR screening are expensive and require extensive training that limits accessibility to patients, especially in developing countries.",optical sensors,Retinal and Ocular Disease Mechanisms and Therapies
MYokinetic Towards Innovation,"MYTI - MYokinetic Towards Innovation, aims at boosting the clinical translation of the technology developed within the ERC funded project MYKI - A Bidirectional MyoKinetic Implanted Interface for Natural Control of Artificial Limbs. Core of the project is an innovative human-machine-interface for the control of upper-limb prostheses, which relies on a multitude of permanent magnets implanted within the residual muscles.",coating and films,Multimodal Cancer Imaging and Diagnostics Technologies
Cataract Simulator Diagnostics Device Development Using Computational Holographic Displays,"Cataracts are the most prevalent blinding disease in the world. Surgery is the only option for Cataracts and it is the most frequently performed surgery worldwide. However, how the patient will see after surgery and what type of replacement intraocular lens (IOL) is the best option cannot be known. In this project, computational holography, which can control phase, size and shape of the light beam entering through the eye-pupil, will be utilized to develop a holographic vision simulator for cataract patients. This will be the first cataract simulator for in-vivo testing of multifocal IOLs. We'll develop and perform clinical studies of the novel instrument on patients.",surgery,Retinal and Ocular Disease Mechanisms and Therapies
Foundation models for molecular diagnostics - machine learning with biological ‘common sense’,"Molecular diagnostics is crucial in fulfilling the promise of personalized medicine. While we are amidst an AI revolution, current machine learning models (ML) struggle to effectively learn from molecular (‘omics’) patient profiles and fail to make robust predictions. Perhaps this is not a surprise. After all, molecular disease biology is immensely complex, and we ask ML models to predict such complicated things as patient prognosis, without them ‘knowing’ anything about molecular biology and based on limited training data.",knowledge engineering,Multimodal Cancer Imaging and Diagnostics Technologies
Linker molecules convert commercial fluorophores into tailored functional probes during biolabeling,"Fluorescence techniques are indispensable tools at the heart of basic research, medical diagnostics, cancer research, personalized medicine and drug screening. Their merits are not limited by physical instrumentation, but by the performance and properties of the employed fluorescent probes. All commercially available fluorophores – with a market potential of 2 billion € per year and an annual growth rate of ~8% – suffer from three fundamental problems: (i) Phototoxicity and poor signal quality, (ii) requirement for functional properties such as blinking emission, sensor capabilities or high photostability, and (iii) their limitations to be used in more than one specific application, e.g.,...",DNA,Multimodal Cancer Imaging and Diagnostics Technologies
Tablet Games for Early Detection and Intervention of Developmental Dyscalculia,"The ultimate goal of the project is to provide a screening and rehabilitation method for the early detection and treatment of developmental dyscalculia (DD), in the form of an entertaining, tablet-based gaming environment. DD is a common learning disability and severely impacts personal and professional development throughout the lifespan. Early diagnosis and interventions increase the possibilities for people with DD to live an independent and productive life. Children with DD have difficulties to map numbers representation into space (in contrast, typically developing children understanding of numerical concepts is facilitated by spatial mapping of numbers).",physiotherapy,"Digital, Social, and Policy Innovations in Health"
Unveiling the role of histone marks in metabolic memory storage and transmission.,"Type 2 diabetes (T2D) is a multifactorial disease affecting over 450 million people in Europe alone, amounting to the burden of life-threatening diseases and worsening quality of life. Skeletal muscle is affected early in T2D and contributes to the fast decline of whole-body glucose homeostasis, which is called insulin resistance. Interestingly, even when isolated from the body and cultured in a laboratory in non-diabetogenic conditions, the skeletal muscle cells do not lose the characteristics of the donor, i.e., the cells remain insulin resistant, indicating the existence of a cell-autonomous mechanism that retains the metabolic memory across generations of cells.",diabetes,Diabetes Monitoring and Hormonal Regulation Methods
The critical shift to single-cell formats in functional analyses of living cells,"The incredible potential of cell and immune therapy (CIT) is limited by technical challenges related to the standard analysis of immune cells in bulk, which neglects their heterogeneity. Single-cell functional resolution is essential to understand the full potential of immune cells. Current single-cell technologies are limited, low-throughput, high-cost and lack robustness, prohibitive for their implementation in CIT R&D, manufacturing and patient stratification. Samplix is developing Xplore, an all-in-one multiparameter single-cell analyser and sorter for screening, selection and expansion of immune cells based on functionality and potency.",oncology,Cancer Immunotherapy and Tumor Biology
"Myopia control in the real world: treatments, target, timing, and terminus","Background: Myopia, or near-sightedness, is increasing dramatically all over the world, mostly due to higher levels of education and changing lifestyles of young generations. The expectation is that half of the world’s citizens will be myopic by 2050. Myopia-related complications later in life are a serious threat to vision and will increase the rates of blindness. Prevention strategies and pharmacological and optical treatments to delay progression of myopia in childhood are emerging, but most eye care professionals still do not control myopia due to inadequate information and unpredictable outcomes.",public health,Retinal and Ocular Disease Mechanisms and Therapies
Intestinal Gluconeogenesis: Emerging Regulator of Energy Homeostasis,"Obesity and type 2 diabetes continuously progress worldwide, compromising healthy aging. Deregulated endogenous glucose production (EGP) is involved in hyperglycemia and its complications. Among the 3 organs (liver, kidney, intestine) contributing to EGP, I uncovered with my team that intestinal gluconeogenesis (IGN) has the capacity to interfere in the control of energy homeostasis. Indeed, intestinal glucose initiates a gut-brain circuit controlling both body weight and glucose production by the liver, the strongest quantitative contributor to EGP. Intestinal gluconeogenesis is, thus, a novel target to control obesity and diabetes.",biomolecules,Diabetes Monitoring and Hormonal Regulation Methods
Nanocarriers Optimization for Periocular Drug Delivery to the Retina,"The incidence of chronic vision-impairing retinal diseases is increasing due to population ageing. Monthly intraocular injections are the standard of care, despite the important risks (e.g., infection and haemorrhage) associated with this practice. A promising alternative is the periocular injection of nanocarriers, which are able to enhance the permeability across the ocular membranes. However, as periocular administration relies on the drug transport mechanisms in the tissues to reach the target, animal tests are generally needed for a prediction of drug distribution after the injection.The researcher aims at the development of an ex vivo model of a whole porcine eye which will constitute...",ophthalmology,Retinal and Ocular Disease Mechanisms and Therapies
Total Optical Coherence Characterization for Automated Tumor Analysis,"Drug resistance, whether intrinsic or acquired during the course of treatment, is the primary cause of cancer treatment failure. Resistance is a complex and highly personalized problem, depending on tumor-specific, genetic, and other factors, but certain cancers are particularly difficult to treat. In particular, the most common and deadliest type of cancer originating in the brain, glioblastoma (GBM), is aggressive and highly resistant to treatment. Due to the complex nature of GBM, advanced methods for screening personalized treatment strategies are critically needed to improve patient outcomes.",oncology,Cancer Immunotherapy and Tumor Biology
